begin load 
Load Neighbors from 0 to 9111 size 5454
3432 1
143 2
5577 0
6006 8
5148 3
4576 0
715 3
4862 8
5005 21
8866 0
1859 0
8723 0
6149 4
2718 12
7866 0
3290 0
430 2
7724 3
1575 5
2861 0
4578 0
5435 1
5149 1
1287 0
4007 0
3147 7
1004 1
1716 0
6294 8
4291 0
2288 1
5578 0
3433 6
859 2
3720 0
1144 15
7151 4
2862 12
2002 0
6864 1
572 0
1433 0
145 3
2576 0
1860 1
9012 3
8155 0
2432 16
2146 3
6435 7
4719 6
5292 8
8294 9
3003 0
7293 3
7008 0
8438 0
4148 3
7437 0
6580 4
6722 5
3577 2
0 1
3861 0
8580 0
290 9
4433 0
5863 8
7579 0
8008 6
8868 1
5721 0
7867 1
5008 1
4008 0
716 1
4579 1
3295 4
2290 5
8726 9
4292 2
1145 8
6296 0
2003 1
3721 0
1718 0
7727 2
146 12
5437 6
1005 11
3005 4
574 0
7152 15
6865 1
2864 0
5725 2
9013 0
1436 0
4863 1
2436 0
7580 0
1862 3
8442 2
5580 3
4434 0
1576 1
8163 0
860 3
5152 3
8581 10
2578 11
7294 0
2147 8
3148 0
6723 0
1288 1
7009 17
8296 1
4 1
6154 0
3439 0
4580 7
4293 3
7438 1
3578 6
6298 6
7868 0
4009 9
431 3
6582 0
718 0
1146 0
2005 0
3862 3
8871 0
5009 7
5864 2
2720 14
7728 1
8009 7
4150 1
8727 0
6438 9
291 0
2292 0
4864 0
3008 7
7153 0
3296 6
9019 0
1719 1
1010 4
5445 0
3722 6
2865 0
4720 0
575 0
8164 0
2437 2
8443 3
6866 4
147 1
7295 14
3151 0
5583 0
5293 0
5728 0
4581 15
6301 4
3581 0
1865 0
6724 2
8583 3
1578 0
6585 0
1437 5
4294 0
7584 7
2009 1
8876 1
5010 0
6007 0
719 0
2580 4
7011 19
4436 0
7729 1
435 0
298 0
7869 6
2293 2
3442 4
2148 0
865 0
6155 7
5153 0
8728 1
7156 22
8297 10
5 2
8010 5
5446 2
3298 0
7439 0
3727 0
5585 0
2721 0
2440 0
3582 6
148 3
6302 1
9022 8
3864 0
4586 2
5867 0
4010 1
4297 1
3152 16
1580 3
1148 3
1722 0
8445 1
7296 0
7585 11
4873 1
6867 3
8165 0
6439 18
1438 0
6008 0
1290 9
438 0
8584 1
5013 8
8878 3
577 0
5729 0
4723 1
720 0
7012 11
2582 7
7157 6
3009 1
5294 0
4437 2
6729 1
5156 0
303 0
3444 6
8729 0
2149 9
2011 12
2294 0
4151 0
1011 0
2866 0
1867 0
6586 0
5587 4
3728 0
8446 6
6 7
8298 4
1724 6
7871 5
4587 1
9026 1
867 6
6156 21
1149 7
2442 0
1581 2
3866 0
7442 0
6009 1
7730 4
3300 1
7297 0
6869 8
4874 0
8586 0
1293 0
6305 7
8166 0
3011 6
723 0
439 23
3583 3
5868 0
5015 1
4299 1
2587 0
4013 2
6442 5
5450 4
150 1
5158 1
6732 1
7586 0
3153 0
2298 2
6157 0
3447 10
1439 0
8011 5
8730 2
4726 1
8879 6
1868 1
9027 1
2724 0
4153 0
7 7
7159 0
1150 1
8301 1
6587 2
8449 1
2443 10
578 0
4588 0
5298 2
7873 1
309 7
2150 9
5730 0
3729 0
2013 9
7013 0
5588 1
1725 0
7298 11
8587 8
1296 4
1013 0
1582 3
7731 7
5016 1
6310 13
442 4
6447 0
4438 8
2867 0
6011 9
868 0
6873 0
7587 1
3161 0
2588 19
2299 0
8731 0
8012 6
9028 10
3870 2
3013 4
8881 4
725 0
8168 0
7445 0
7162 0
4875 0
6158 0
4727 1
4591 4
8302 13
1440 0
579 5
8 1
4301 0
5871 14
151 0
3731 2
4015 0
8450 0
1728 0
1300 13
6736 0
7874 0
5733 0
4154 1
5451 10
2014 0
3585 1
5589 0
5018 0
2444 1
5159 5
